번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
1,물류관리론,LM01 물류관리 일반,중,A사는 전국 대리점에서 사용한 플라스틱 운반상자를 회수하여 세척한 뒤 다시 물류 현장에 투입하고 있다. 이와 가장 관련이 깊은 물류활동은 무엇인가?,,회수물류,조달물류,사내물류,판매물류,판매 후 고객 만족도 조사 활동,1,"회수물류는 사용이 끝난 제품이나 용기, 파렛트 등을 회수하여 재사용·재활용하거나 적절히 처리하는 활동을 의미한다."
2,물류관리론,LM01 물류관리 일반,중,"한 유통회사는 배송 효율을 높이기 위해 창고 운영, 포장, 배송 과정을 개선하고 있다. 다음 중 이러한 물적유통 활동에 포함되지 않는 것은?",,보관,하역,대금 결제,포장,운송 중 상품의 위치 추적,3,물적유통은 제품의 물리적인 이동과 관련된 활동이다. 대금 결제는 상거래 활동으로 물적유통에 포함되지 않는다.
3,물류관리론,LM03 SCM과 녹색물류,중,전자제품 제조업체는 원재료 공급업체부터 소비자에게 제품이 전달될 때까지 모든 재고와 주문 정보를 하나의 시스템으로 관리하고 있다. 이 기업이 가장 중점을 두고 있는 개념은 무엇인가?,,CRM(Customer Relationship Management),SCM(Supply Chain Management),ERP(Enterprise Resource Planning),TQM(Total Quality Management),개별 부서의 재고를 서로 분리하여 관리하는 것,2,"SCM은 공급업체, 제조업체, 물류센터, 판매점 등 공급사슬 전체를 하나의 흐름으로 관리하여 비용을 절감하고 고객서비스를 향상시키는 관리기법이다."
4,물류관리론,LM01 물류관리 일반,중,온라인 쇼핑 이용자가 크게 증가하면서 물류기업들은 운영 방식을 변화시키고 있다. 이러한 변화와 가장 거리가 먼 것은 무엇인가?,,소량·다빈도 배송 증가,배송 정보의 실시간 제공 확대,물류 자동화 설비 도입 확대,오프라인 매장 중심 배송으로 전환,고객별 배송 요구에 따른 물류서비스 세분화,4,"전자상거래가 확대될수록 소량·다빈도 배송, 물류자동화, 배송정보 제공 등의 중요성이 높아진다. 오프라인 중심 배송으로의 전환은 최근 물류환경 변화와 거리가 멀다."
5,물류관리론,LM01 물류관리 일반,중,다음 중 최근 기업들이 물류관리에 더욱 많은 관심을 가지는 이유로 보기 어려운 것은 무엇인가?,,고객의 빠른 배송 요구가 증가하고 있기 때문이다.,물류비 절감이 기업 경쟁력 향상에 영향을 주기 때문이다.,전자상거래의 성장으로 배송 서비스의 중요성이 커졌기 때문이다.,시장 경쟁이 줄어들어 물류 효율성을 고려할 필요가 없어졌기 때문이다.,배송 리드타임 단축 경쟁이 심화되고 있기 때문이다.,4,최근에는 고객서비스 수준 향상과 물류비 절감이 기업 경쟁력의 핵심 요소가 되고 있다. 시장 경쟁이 줄어들어 물류관리가 중요하지 않다는 설명은 적절하지 않다.
6,물류관리론,LM01 물류관리 일반,하,"식품 제조업체 A사는 원재료 입고부터 생산, 완제품 출하까지 하나의 시스템으로 관리하고 있다. 이 회사의 물류관리에 대한 설명으로 가장 적절한 것은?",,물류는 운송 업무만 관리하는 활동이다.,물류는 구매·생산·판매를 연결하는 기업의 핵심 활동이다.,물류는 생산이 끝난 이후의 배송만 담당한다.,물류는 재고관리와는 관련이 없다.,물류는 기업의 회계결산 이후에만 수행되는 사후 활동이다.,2,"물류관리는 구매, 생산, 보관, 운송, 판매 등 기업의 전체 흐름을 연결하는 활동이다. 단순한 운송 업무만을 의미하지 않는다."
7,물류관리론,LM02 물류시스템 구축,중,온라인 쇼핑몰 B사는 고객 주문이 접수된 후 상품을 창고에서 찾고 포장하여 출고장으로 이동시키는 시간을 단축하려고 한다. 이와 가장 관련 있는 주문주기시간 구성요소는?,,주문전달시간,주문조립시간,상품인도시간,재고조사시간,주문대금 정산시간,2,주문조립시간은 주문 접수 후 상품을 피킹하고 포장하여 출고를 준비하는 과정에 소요되는 시간을 의미한다.
8,물류관리론,LM02 물류시스템 구축,중,유통업체 C사는 고객 만족도를 높이기 위해 물류서비스를 개선하려 한다. 다음 중 고객서비스 수준을 높이는 방안으로 가장 적절하지 않은 것은?,,배송정보를 실시간으로 제공한다.,적정 재고를 유지하여 품절을 줄인다.,배송시간을 단축한다.,재고를 최소화하기 위해 고객 주문을 일정 기간 모아서 한꺼번에 배송한다.,주문 정확도를 높이기 위해 피킹 오류를 줄인다.,4,고객서비스 수준은 신속성과 정확성이 중요하다. 주문을 일부러 지연하여 묶음 배송하면 배송 리드타임이 길어져 고객 만족도가 낮아질 수 있다.
9,물류관리론,LM01 물류관리 일반,중,신제품 출시 이후 판매량이 빠르게 증가하고 있는 기업이 전국 단위 물류거점을 추가로 구축하려고 한다. 이러한 전략이 가장 필요한 제품수명주기 단계는?,,도입기,성장기,성숙기,쇠퇴기,재도입기,2,성장기에는 수요가 급격히 증가하므로 물류거점 확대와 배송능력 확보가 중요하다.
10,물류관리론,LM01 물류관리 일반,중,A기업은 사업부마다 자체적으로 물류부서를 운영하며 각 사업부의 실적을 독립적으로 관리하고 있다. 이러한 조직 형태의 특징으로 가장 적절한 것은?,,모든 사업부가 하나의 물류조직에서 통합 관리된다.,사업부별 책임경영이 가능하지만 조직 간 중복이 발생할 수 있다.,제품별 조직 운영이 불가능하다.,물류 의사결정은 본사에서만 가능하다.,사업부 간 물류기능 중복 가능성이 전혀 없다.,2,"사업부제 조직은 사업부별 자율성과 책임경영이 장점이지만, 기능이 중복되어 운영 효율이 떨어질 수 있다는 단점도 있다."
